car_name,car_price_in_rupees,kms_driven,fuel_type,city,year_of_manufacture
Hyundai Creta SX Plus 1.6  Petrol,978999.0,27623,Petrol,Bangalore,2016
Hyundai Xcent SX 1.2 (O),499000.0,73333,Petrol,Bangalore,2015
MG Hector Sharp 2.0 Diesel [2019-2020],1659000.0,45999,Diesel,Bangalore,2019
Maruti Suzuki Baleno Sigma 1.2,545000.0,61518,Petrol,Noida,2017
Maruti Suzuki S-Presso VXi Plus,476000.0,65,Petrol,Delhi,2021
Maruti Suzuki Baleno Zeta 1.3,739000.0,42400,Diesel,Bangalore,2017
Jeep Compass Limited 1.4 Petrol AT [2017-2020],1395000.0,45221,Petrol,Mumbai,2017
Maruti Suzuki Ignis Zeta 1.2 MT,628000.0,11290,Petrol,Pune,2020
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,409000.0,68446,Petrol,Delhi,2016
Honda City V,590000.0,51850,Petrol,Mumbai,2015
Toyota Glanza G CVT,795000.0,10000,Petrol,Mumbai,2020
Audi Q3 2.0 TDI quattro Premium,1190000.0,69500,Diesel,Ahmedabad,2012
Maruti Suzuki Swift DZire ZXI,445000.0,44681,Petrol,Hyderabad,2012
Renault Kwid RXT [2015-2019],299000.0,65428,Petrol,Pune,2016
Hyundai Verna Fluidic 1.6 VTVT SX,391000.0,84344,Petrol,Delhi,2013
Maruti Suzuki Vitara Brezza ZDi Plus AGS,890000.0,113600,Diesel,Thane,2018
Maruti Suzuki Wagon R LXi 1.0 CNG,599000.0,17778,CNG,Delhi,2020
Maruti Suzuki Baleno Delta 1.2,580000.0,33269,Petrol,Kolkata,2018
MG Hector Sharp 1.5 DCT Petrol [2019-2020],1925000.0,15222,Petrol,Bangalore,2021
Honda City V Diesel,925000.0,87139,Diesel,Hyderabad,2017
Maruti Suzuki Swift VXi ABS,340000.0,69551,Petrol,Delhi,2013
Hyundai Verna Fluidic 1.6 CRDi SX,484999.0,72500,Diesel,Thane,2013
Maruti Suzuki Swift ZXi,633000.0,28899,Petrol,Delhi,2018
Maruti Suzuki Wagon R 1.0 VXI,396000.0,13595,Petrol,Kolkata,2017
Ford Endeavour Titanium 3.2 4x4 AT,2475000.0,83000,Diesel,Mumbai,2016
Hyundai Elite i20 Magna Executive 1.2,775000.0,19418,Petrol,Bangalore,2019
Volvo V40 D3 Kinetic,1200000.0,50965,Diesel,Kolkata,2015
Ford EcoSport Ambiente 1.5L TDCi,491000.0,74000,Diesel,Thane,2014
Hyundai Xcent SX CRDi,425000.0,21707,Diesel,Kolkata,2017
Mahindra XUV500 W8,740000.0,83555,Diesel,Hyderabad,2013
Hyundai Verna 1.6 VTVT SX,585000.0,37000,Petrol,Mumbai,2015
Hyundai Grand i10 Magna 1.2 Kappa VTVT [2013-2016],385000.0,43000,Petrol,Noida,2014
Maruti Suzuki Baleno Zeta 1.2 AT,690000.0,21769,Petrol,Mumbai,2017
BMW 5 Series 530i Sport Line,4250000.0,32000,Petrol,Mumbai,2018
Maruti Suzuki Ciaz Zeta Hybrid  1.5 [2018-2020],799000.0,14886,Petrol,Mumbai,2018
MG Hector Plus Sharp 1.5 DCT Petrol,1889999.0,6602,Petrol,Ahmedabad,2020
Maruti Suzuki Wagon R 1.0 LXI CNG,385000.0,58000,CNG,Thane,2014
Maruti Suzuki Wagon R 1.0 LXI CNG,407000.0,63339,CNG,Pune,2014
Maruti Suzuki Ciaz Delta 1.5,830000.0,4500,Petrol,Faridabad,2020
Renault Triber RXZ EASY-R AMT,760000.0,23600,Petrol,Chennai,2020
Hyundai Venue S 1.0 Petrol [2019-2020],955000.0,17844,Petrol,Kolkata,2019
Honda City SV,875000.0,21000,Petrol,Ahmedabad,2019
Tata Indica LS,250000.0,60000,Diesel,Thiruvallur,2017
Maruti Suzuki Celerio VXi AMT,450000.0,34530,Petrol,Thane,2016
Honda CR-V 2.4 AT,1400000.0,117192,Petrol,Hyderabad,2014
Honda Jazz VX Diesel,595000.0,54000,Diesel,Thane,2016
Nissan Terrano XL (P),679000.0,38999,Petrol,Bangalore,2016
Volkswagen Ameo Highline Plus 1.5L AT (D)16 Alloy,660000.0,58549,Diesel,Chennai,2017
Hyundai Elite i20 Sportz 1.2 [2016-2017],687000.0,41055,Petrol,Delhi,2019
Renault Kwid 1.0 RXT [2016-2019],304000.0,53728,Petrol,Delhi,2018
Hyundai Grand i10 Sportz (O) 1.2 Kappa VTVT [2017-2018],529000.0,42141,Petrol,Bangalore,2017
Tata Tiago JTP 1.2 [2018-2019],416000.0,63130,Petrol,Delhi,2018
Maruti Suzuki Alto K10 VXi [2014-2019],301000.0,53912,Petrol,Chennai,2016
Tata Nexon XMA Diesel,941000.0,20678,Diesel,Thane,2019
Tata Safari XTA Plus,2375000.0,4259,Diesel,Bangalore,2022
Honda Jazz E MT [2015-2016],490000.0,48866,Petrol,Ahmedabad,2016
Renault Kwid RXT [2015-2019],331000.0,32954,Petrol,Delhi,2018
Maruti Suzuki Wagon R 1.0 VXi,235000.0,37000,Petrol,Mumbai,2012
Mahindra XUV500 W11 AT,1390000.0,85000,Diesel,Ahmedabad,2018
Audi A3 35 TDI Premium + Sunroof,2475000.0,36627,Diesel,Bangalore,2016
Volkswagen Polo GT TSI,925000.0,62690,Petrol,Bangalore,2018
Toyota Innova Crysta GX 2.4 7 STR,2150000.0,12039,Diesel,Ahmedabad,2020
Honda City VX CVT Petrol,1204000.0,26230,Petrol,Delhi,2020
Hyundai Santro Sportz AMT,557000.0,19156,Petrol,Pune,2020
Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,579000.0,18350,Petrol,Kolkata,2020
Hyundai Elite i20 Magna Executive 1.2,554000.0,44053,Petrol,Pune,2018
Hyundai i10 1.1L iRDE Magna Special Edition,340000.0,69000,Petrol,Ahmedabad,2014
Kia Seltos GTX 1.4 Dual Tone,1620000.0,51605,Petrol,Pune,2019
BMW 5 Series 520d Sedan,4300000.0,40000,Diesel,Ahmedabad,2017
Tata Harrier XZ Plus Dual Tone,1895000.0,35438,Diesel,Thane,2020
BMW 7 Series 750Li Sedan,1000000.0,65000,Petrol,Ahmedabad,2008
Maruti Suzuki Ciaz Alpha 1.4 AT,885000.0,38500,Petrol,Ahmedabad,2020
Maruti Suzuki Wagon R 1.0 LXI CNG,484000.0,20583,CNG,Pune,2018
Skoda Rapid Style 1.5 TDI AT,715000.0,81325,Diesel,Kolkata,2016
Maruti Suzuki Baleno Zeta 1.2,590000.0,35000,Petrol,Ahmedabad,2017
Maruti Suzuki Celerio VXi AMT ABS,484999.0,25000,Petrol,Hyderabad,2015
Honda Jazz V Petrol,462000.0,37993,Petrol,Delhi,2015
Land Rover Discovery Sport HSE 7-Seater,3499000.0,21693,Diesel,Kolkata,2018
Hyundai Creta SX 1.6 (O) Petrol,1025000.0,63194,Petrol,Thane,2018
Hyundai i10 1.2 L Kappa Magna Special Edition,180000.0,60000,Petrol,Thane,2009
Honda City VX CVT Petrol [2017-2019],1200000.0,70000,Petrol + 1,Ambattur,2018
Tata Hexa XTA 4x2 6 STR,1600000.0,51000,Diesel + 1,Ambattur,2018
Hyundai Elite i20 Asta 1.2 (O) CVT [2019-2020],830000.0,22024,Petrol,Thane,2019
Skoda Octavia 2.0 TDI L&K,2095000.0,35793,Diesel,Hyderabad,2017
Hyundai Tucson GLS 4WD AT Diesel,1925000.0,75400,Diesel,Pune,2017
Maruti Suzuki Swift Dzire LDI,475000.0,84996,Diesel,Hyderabad,2016
Maruti Suzuki Swift VXi,459999.0,74767,Petrol,Mumbai,2015
Honda Amaze 1.2 EX i-VTEC,342000.0,63956,Petrol,Gurgaon,2013
Maruti Suzuki Wagon R 1.0 LXI CNG,450000.0,48000,CNG,Thane,2017
Renault Duster 85 PS RxL Diesel,685000.0,48330,Diesel,Bangalore,2014
Maruti Suzuki Alto 800 Vxi,210000.0,93150,Petrol,Kolkata,2014
BMW X3 xDrive 30d M Sport [2015-2017],4100000.0,69499,Diesel,Hyderabad,2016
Mahindra TUV300 T8 AMT mHAWK100,545000.0,75000,Diesel,Noida,2016
Kia Carnival Prestige 7 STR,3499000.0,13748,Diesel,Bangalore,2021
Maruti Suzuki Ciaz Alpha Hybrid 1.5 AT [2018-2020],1075000.0,30672,Petrol,Bangalore,2019
Jeep Compass Limited Plus Diesel [2018-2020],1798999.0,64683,Diesel,Bangalore,2019
Maruti Suzuki Baleno Alpha 1.2,711000.0,69886,Petrol,Mumbai,2019
Audi Q5 2.0 TDI quattro Premium,2150000.0,34000,Diesel,Kolkata,2014
Hyundai Creta SX 1.6 Petrol,1149000.0,62137,Petrol,Bangalore,2019
Maruti Suzuki Baleno Alpha 1.2,524000.0,56800,Petrol,Delhi,2016
Hyundai Xcent S 1.2,475000.0,42382,Petrol,Thane,2015
Maruti Suzuki Wagon R 1.0 VXI,390000.0,66794,Petrol,Kolkata,2018
Honda City V CVT Petrol [2017-2019],1150000.0,19600,Petrol,Ahmedabad,2020
Mercedes-Benz S-Class 350 CDI L,1900000.0,85489,Diesel,Hyderabad,2011
Renault Triber RXZ EASY-R AMT,750000.0,19784,Petrol,Mumbai,2020
Honda City ZX CVT Petrol,1285000.0,19238,Petrol,Mumbai,2020
Maruti Suzuki Swift VXi,420000.0,78518,Petrol,Hyderabad,2013
Hyundai Creta E Plus 1.6 Petrol,855000.0,54104,Petrol,Mumbai,2017
Renault Duster 85 PS RXS 4X2 MT Diesel,899000.0,55300,Diesel,Bangalore,2018
Renault Kwid 1.0 RXT Opt [2016-2019],348000.0,40397,Petrol,Chennai,2018
Mahindra XUV500 W8,811000.0,87527,Diesel,Mumbai,2015
Toyota Glanza V,675000.0,63000,Petrol,Ahmedabad,2019
Maruti Suzuki Swift VDi ABS [2014-2017],567000.0,83647,Diesel,Pune,2016
Isuzu MU-X 4x2,2100000.0,75592,Diesel,Hyderabad,2018
Renault Duster 85 PS RxL Diesel (Opt),475000.0,57660,Diesel,Mumbai,2012
Honda Amaze 1.2 VX MT Petrol [2018-2020],685000.0,42277,Petrol,Noida,2018
Maruti Suzuki S-Presso VXi Plus,525000.0,2600,Petrol,Ahmedabad,2022
Volvo XC90 D5 AWD,2257000.0,51000,Diesel,Ahmedabad,2014
Hyundai Grand i10 Asta 1.2 Kappa VTVT,575000.0,19630,Petrol,Mumbai,2017
Honda City VX,745000.0,42218,Petrol,Mumbai,2016
Toyota Glanza G,708000.0,69553,Petrol,Chennai,2019
Maruti Suzuki Alto K10 VXi AMT [2014-2018],338000.0,48448,Petrol,Delhi,2017
Tata Tiago Revotron XT [2016-2019],484000.0,60167,Petrol,Delhi,2019
Honda City 1.5 V MT,395000.0,61000,Petrol,Noida,2012
Hyundai Grand i10 Sports Edition 1.2L Kappa VTVT,434000.0,26282,Petrol,Pune,2015
Mercedes-Benz E-Class E 220 d Avantgarde,6175000.0,19070,Diesel,Bangalore,2019
Audi A4 3.0 TDI quattro Technology Pack,3200000.0,67262,Diesel,Chennai,2018
Maruti Suzuki Ciaz Alpha Hybrid 1.5 [2018-2020],872000.0,5814,Petrol,Kolkata,2020
Skoda Rapid Ultima Elegance 1.6 TDI CR MT,650000.0,76810,Diesel,Kolkata,2017
Honda Amaze 1.5 VX i-DTEC,495000.0,63587,Diesel,Mumbai,2015
Kia Seltos GTX Plus AT 1.4 [2019-2020],1525000.0,28000,Petrol,Kolkata,2019
Honda Amaze 1.5 S i-DTEC,499000.0,42637,Diesel,Bangalore,2014
Maruti Suzuki Wagon R 1.0 VXI,432000.0,52775,Petrol,Pune,2017
Maruti Suzuki Ciaz Zeta Hybrid 1.5 AT [2018-2020],850000.0,21809,Petrol,Thane,2019
Volkswagen Vento Highline Plus 1.2 (P) AT 16 Alloy,725000.0,45689,Petrol,Mumbai,2016
Maruti Suzuki Celerio ZXi [2017-2019],433000.0,34251,Petrol,Pune,2017
Maruti Suzuki Ertiga VXI CNG,720000.0,55000,CNG,Thane,2016
Skoda Rapid Ambition 1.6 TDI CR MT,925000.0,95004,Diesel,Hyderabad,2018
Tata Harrier XZ [2019-2020],1695000.0,20856,Diesel,Bangalore,2019
Maruti Suzuki Dzire ZXi Plus AMT,875000.0,11800,Petrol,Chennai,2020
Maruti Suzuki Baleno Delta 1.2,509999.0,32897,Petrol,Pune,2016
Mahindra TUV300 T8,565000.0,47107,Diesel,Delhi,2016
Maruti Suzuki Alto K10 VXi,225000.0,76614,Petrol,Pune,2011
Audi Q3 35 TDI quattro Premium Plus,1998999.0,32345,Diesel,Kolkata,2018
Jaguar XE Portfolio Diesel,3775000.0,35491,Diesel,Bangalore,2018
Toyota Innova Crysta ZX 2.4 AT 7 STR,3250000.0,22562,Diesel,Hyderabad,2021
Maruti Suzuki Ciaz Delta 1.3 Diesel,745000.0,49908,Diesel,Mumbai,2018
MINI Cooper JCW Hatchback,4400000.0,2482,Petrol,Mumbai,2021
Jeep Compass Limited Plus 2.0 Diesel 4x4 AT,2300000.0,9000,Diesel,Ambattur,2020
Volkswagen Polo Comfortline 1.2L (P),465000.0,27700,Petrol,Thane,2015
Maruti Suzuki Wagon R LXi Minor,180000.0,49000,Petrol,Thane,2009
Maruti Suzuki Ignis Delta 1.2 MT,453000.0,12104,Petrol,Kolkata,2018
Hyundai Xcent SX 1.2,534000.0,28646,Petrol,Pune,2016
Maruti Suzuki Alto 800 Lxi,204999.0,35965,Petrol,Kolkata,2014
Mercedes-Benz E-Class E350 CDI BlueEfficiency,1550000.0,64000,Diesel,Hyderabad,2010
Maruti Suzuki Baleno Zeta 1.2,735000.0,5288,Petrol,Thane,2020
Volvo S60 Kinetic D4,1789999.0,90604,Diesel,Hyderabad,2017
Maruti Suzuki Estilo VXi ABS BS-IV,225000.0,68000,Petrol + 1,Thiruvallur,2011
Hyundai i20 Asta (O) 1.2 MT,850000.0,32243,Petrol,Hyderabad,2020
Maruti Suzuki Ciaz Delta 1.4 MT,687000.0,33823,Petrol,Delhi,2017
Maruti Suzuki Swift VXi AMT [2018-2019],538000.0,25412,Petrol,Kolkata,2018
BMW 3 Series Gran Limousine 320Ld Luxury Line,5750000.0,22600,Diesel,Chennai,2021
Honda City V CVT Petrol [2017-2019],830000.0,56468,Petrol,Ahmedabad,2017
Ford Figo Duratec Petrol EXI 1.2,240000.0,73000,Petrol + 1,Poonamallee,2011
Honda City SV,630000.0,24751,Petrol,Kolkata,2018
Audi TT 45 TFSI,4600000.0,9865,Petrol,Ahmedabad,2016
Maruti Suzuki Celerio ZXi AMT [2019-2020],475000.0,29646,Petrol,Thane,2016
BMW X1 sDrive20d Expedition,2175000.0,55000,Diesel,Mumbai,2017
Volvo S90 D4 Inscription,5900000.0,15446,Diesel,Hyderabad,2020
Maruti Suzuki Celerio VXi AMT ABS,445000.0,24595,Petrol,Mumbai,2016
Hyundai Creta 1.6 S Plus AT,998000.0,97761,Diesel,Pune,2016
Maruti Suzuki Celerio VXi,565000.0,47000,Petrol,Hyderabad,2020
Hyundai Grand i10 Sportz 1.2 Kappa VTVT [2016-2017],484999.0,66471,Petrol,Delhi,2017
Datsun redi-GO S [2016-2019],325000.0,37000,Petrol,Ahmedabad,2019
Kia Seltos GTX Plus 1.4 [2020-2021],1689999.0,28100,Petrol,Ahmedabad,2020
Skoda Octavia Elegance 2.0 TDI AT,799000.0,63000,Diesel,Delhi,2014
Maruti Suzuki Wagon R 1.0 LXI CNG (O),430000.0,26600,CNG,Pune,2016
Mahindra XUV500 W8,575000.0,55105,Diesel,Kolkata,2013
Hyundai Eon Era +,330000.0,42748,Petrol,Chennai,2017
Audi Q7 45 TDI Technology Pack,5950000.0,51000,Diesel,Ahmedabad,2018
Audi A6 35 TDI Matrix,2500000.0,76000,Diesel,Ahmedabad,2018
Hyundai Elite i20 Sportz 1.2,613000.0,35247,Petrol,Pune,2017
Hyundai Elite i20 Sportz 1.2,559000.0,30183,Petrol,Kolkata,2019
Mercedes-Benz GLS 350 d,6800000.0,88000,Diesel,Hyderabad,2018
MG Hector Sharp 1.5 DCT Petrol [2019-2020],1698999.0,7870,Petrol,Kolkata,2021
Mahindra XUV500 W10,1490000.0,50000,Diesel,Chennai,2018
BMW 3 Series 320d Luxury Line,1710000.0,46000,Diesel,Delhi,2015
Maruti Suzuki Celerio VXi AMT [2017-2019],490000.0,28726,Petrol,Thane,2018
Maruti Suzuki Wagon R 1.0 LXI,313000.0,32907,Petrol,Delhi,2014
Maruti Suzuki Alto 800 Vxi,332000.0,29092,Petrol,Kolkata,2019
Hyundai Creta 1.6 S Petrol,745000.0,62461,Petrol,Mumbai,2016
Skoda Rapid Ambition 1.6 MPI MT,385000.0,60000,Petrol,Noida,2012
Jaguar XF 3.0 V6 Premium Luxury,2650000.0,62645,Diesel,Hyderabad,2015
Toyota Innova 2.5 G BS III 7 STR,975000.0,83000,Diesel,Ahmedabad,2015
Hyundai i10 1.1L iRDE Magna Special Edition,350000.0,55000,Petrol,Ahmedabad,2015
Toyota Fortuner 2.8 4x4 AT [2016-2020],3500000.0,181213,Diesel,Hyderabad,2019
Maruti Suzuki Dzire VXi AMT,690000.0,25000,Petrol,Delhi,2020
Datsun GO T [2018-2019],235000.0,52000,Petrol,Ahmedabad,2018
Ford EcoSport Titanium 1.0 Ecoboost,451000.0,38203,Petrol,Kolkata,2013
Maruti Suzuki Wagon R 1.0 LXI CNG,405999.0,64942,CNG,Delhi,2017
Maruti Suzuki Baleno Delta 1.2,540000.0,47837,Petrol,Delhi,2018
Maruti Suzuki Ertiga Vxi,500000.0,85000,Petrol + 1,Thiruvallur,2013
Mercedes-Benz CLA 200 CDI Sport,1648999.0,51500,Diesel,Kolkata,2015
Skoda Octavia 1.8 TSI L&K,2100000.0,23160,Petrol,Hyderabad,2018
Toyota Corolla Altis G Petrol,695000.0,75000,Petrol,Thane,2015
Toyota Corolla Altis 1.8 G AT,883000.0,63000,Petrol,Delhi,2014
BMW 3 Series 320d Luxury Line,1550000.0,104264,Diesel,Hyderabad,2013
Hyundai Elite i20 Asta 1.2 (O) [2016],659000.0,15972,Petrol,Delhi,2017
Hyundai Eon Magna [2011-2012],320000.0,33146,Petrol,Ahmedabad,2015
Maruti Suzuki Swift VXi [2014-2017],674000.0,30956,Petrol,Chennai,2020
Renault Kiger RXT Turbo CVT Dual Tone,998000.0,4371,Petrol,Kolkata,2022
Hyundai Elite i20 Asta 1.4 CRDI (O) [2016-2017],1075000.0,63653,Diesel,Hyderabad,2020
Honda City 1.5 V MT,405000.0,55297,Petrol,Thane,2013
Porsche Cayenne Turbo,7856999.0,12000,Petrol,Ahmedabad,2015
Maruti Suzuki Swift DZire VXI,417000.0,21391,Petrol,Kolkata,2014
Renault Kwid CLIMBER 1.0 (O),483000.0,11546,Petrol,Delhi,2021
Hyundai Santro Sportz,589000.0,16270,Petrol,Pune,2020
Nissan Micra XV Diesel,290000.0,73000,Diesel,Ahmedabad,2012
Hyundai Grand i10 Magna AT 1.2 Kappa VTVT,549000.0,53000,Petrol,Hyderabad,2018
Mercedes-Benz CLA 200 Petrol Sport,1925000.0,34000,Petrol,Mumbai,2016
Hyundai Venue S 1.0 Petrol [2019-2020],1064000.0,16328,Petrol,Pune,2019
Land Rover Range Rover Evoque SE R-Dynamic Petrol,7700000.0,5600,Petrol,Thane,2021
Maruti Suzuki S-Cross Alpha 1.3,760000.0,73994,Diesel,Hyderabad,2016
Hyundai Verna SX (O) AT Anniversary Edition 1.6 VTVT,1059000.0,43920,Petrol,Bangalore,2019
Maruti Suzuki Wagon R 1.0 VXI,317000.0,17715,Petrol,Kolkata,2014
Toyota Corolla Altis G Petrol,1040000.0,82902,Petrol,Delhi,2018
Land Rover Range Rover Sport SDV6 SE,12300000.0,39012,Diesel,Thane,2019
Maruti Suzuki Wagon R 1.0 VXI,471000.0,23344,Petrol,Hyderabad,2018
Hyundai Verna 1.6 VTVT SX (O),749000.0,93494,Petrol,Kolkata,2019
Honda Jazz V AT Petrol,725000.0,27222,Petrol,Mumbai,2018
Hyundai Creta S 1.5 Diesel [2020-2022],1600000.0,14468,Diesel,Hyderabad,2021
Honda Jazz V Diesel,747000.0,40000,Diesel + 1,Pallikarnai,2017
